"x","median","fifth","ninetyfifth","twentyfifth","seventyfifth"
2573.70079564281,0.697,0,0,0.451,0.825
2576.09099160941,0.676,0,0,0.448,0.845
2578.481187576,0.678,0,0,0.446,0.828
2580.87138354259,0.661,0,0,0.432,0.79025
2583.26157950919,0.582,0,0,0.345,0.75325
2585.65177547578,0.551,0,0,0.326,0.718
2588.04197144238,0.538,0,0,0.32325,0.701
2590.43216740897,0.55,0,0,0.32,0.718
2592.82236337556,0.567,0,0,0.333,0.747
2595.21255934216,0.577,0,0,0.336,0.738
2597.60275530875,0.672,0,0,0.413,0.804
2599.99295127535,0.707,0,0,0.483,0.818
2602.38314724194,0.741,0,0,0.52125,0.86
2604.77334320853,0.774,0,0,0.58175,0.884
2607.16353917513,0.761,0,0,0.555,0.888
2609.55373514172,0.753,0,0,0.55725,0.88875
2611.94393110832,0.754,0,0,0.565,0.892
2614.33412707491,0.743,0,0,0.533,0.884
2616.7243230415,0.745,0,0,0.548,0.88275
2619.1145190081,0.764,0,0,0.56575,0.894
2621.50471497469,0.78,0,0,0.591,0.90125
2623.89491094129,0.819,0,0,0.649,0.921
2626.28510690788,0.823,0,0,0.649,0.922
2628.67530287447,0.823,0,0,0.653,0.928
2631.06549884107,0.813,0,0,0.64675,0.91
2633.45569480766,0.798,0,0,0.632,0.909
2635.84589077426,0.7945,0,0,0.61675,0.90625
2638.23608674085,0.745,0,0,0.58675,0.835
2640.62628270744,0.73,0,0,0.567,0.816
2643.01647867404,0.771,0,0,0.568,0.919
2645.40667464063,0.769,0,0,0.575,0.927
2647.79687060723,0.767,0,0,0.586,0.927
2650.18706657382,0.762,0,0,0.584,0.92625
2652.57726254041,0.7225,0,0,0.49975,0.912
2654.96745850701,0.82,0,0,0.7005,0.94225
2657.3576544736,0.823,0,0,0.703,0.942
2659.7478504402,0.8305,0,0,0.696,0.946
2662.13804640679,0.837,0,0,0.7115,0.949
2664.52824237338,0.84,0,0,0.71175,0.949
2666.91843833998,0.837,0,0,0.70675,0.947
2669.30863430657,0.833,0,0,0.688,0.939
2671.69883027317,0.826,0,0,0.674,0.911
2674.08902623976,0.813,0,0,0.658,0.91
2676.47922220635,0.787,0,0,0.625,0.907
2678.86941817295,0.776,0,0,0.61875,0.889
2681.25961413954,0.76,0,0,0.6,0.886
2683.64981010614,0.754,0,0,0.584,0.885
2686.04000607273,0.762,0,0,0.589,0.889
2688.43020203932,0.766,0,0,0.636,0.872
2690.82039800592,0.855,0,0,0.679,0.935
2693.21059397251,0.837,0,0,0.662,0.947
2695.60078993911,0.865,0,0,0.684,0.969
2697.9909859057,0.882,0,0,0.706,0.979
2700.38118187229,0.883,0,0,0.714,0.981
2702.77137783889,0.8875,0,0,0.715,0.983
2705.16157380548,0.89,0,0,0.722,0.983
2707.55176977208,0.8945,0,0,0.727,0.984
2709.94196573867,0.8935,0,0,0.72625,0.985
2712.33216170526,0.893,0,0,0.719,0.986
2714.72235767186,0.8935,0,0,0.718,0.99
2717.11255363845,0.885,0,0,0.70875,0.989
2719.50274960505,0.871,0,0,0.69875,0.989
2721.89294557164,0.8815,0,0,0.7085,0.989
2724.28314153823,0.833,0,0,0.627,0.986
2726.67333750483,0.769,0,0,0.523,0.984
2729.06353347142,0.763,0,0,0.503,0.987
2731.45372943802,0.804,0,0,0.55,0.989
2733.84392540461,0.843,0,0,0.62075,0.989
2736.2341213712,0.843,0,0,0.62075,0.989
2738.6243173378,0.851,0,0,0.648,0.99
2741.01451330439,0.851,0,0,0.647,0.99
2743.40470927099,0.856,0,0,0.665,0.99
2745.79490523758,0.865,0,0,0.669,0.99
2748.18510120417,0.857,0,0,0.669,0.99
2750.57529717077,0.848,0,0,0.666,0.936
2752.96549313736,0.838,0,0,0.652,0.94
2755.35568910396,0.839,0,0,0.659,0.94
2757.74588507055,0.848,0,0,0.67,0.977
2760.13608103714,0.838,0,0,0.669,0.976
2762.52627700374,0.837,0,0,0.653,0.975
2764.91647297033,0.817,0,0,0.62,0.976
2767.30666893693,0.806,0,0,0.617,0.976
2769.69686490352,0.827,0,0,0.654,0.977
2772.08706087011,0.827,0,0,0.654,0.977
2774.47725683671,0.8265,0,0,0.65,0.977
2776.8674528033,0.826,0,0,0.631,0.976
2779.25764876989,0.825,0,0,0.621,0.976
2781.64784473649,0.825,0,0,0.621,0.976
